statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
i am not the best drawer but i do love writing,"If you wrote a book, would you use a pen name? You know, to write anonymously and conceal your identity.",2519,3,3,5,3,4,3.6,,
i have a pitbull too and also a chihuahua,Can you describe an emotion you prefer or find more important for you personally?,2520,2,3,1,4,5,3,,
nice i was just training earlier for my next run,How many hours of sleep do you usually get per night?,2521,1,3,2,3,5,2.8,,
do you like alot of bread,"Yes, some of it",2522,4,4,1,4,3,3.2,,
yeah for sure so do you like music ?,"Sure I do! Here's one of my favorite songs: https://www.youtube.com/watch?v=CzzZkkiJMv8
Do you like music?",2523,3,2,4,3,5,3.4,,
you sound like a good athlete good for you for staying active,I do my very best.,2524,5,3,3,4,4,3.8,,
they are very important i should be more healthy,"Well, I hope you get enough rest!
Your wellbeing is very important to me. ",2525,5,3,5,3,4,4,,
no a smaller one about surfing which is one of my hobbies,I like all of it,2526,4,5,4,3,1,3.4,,
i live in cali d,Maybe it could be Dave.,2527,5,2,3,1,1,2.4,,
hello care for a chat today,Why do you say that?,2528,1,2,3,3,3,2.4,,
sounds like a fun fantasy i just got home from work,I hope the rest of your day is nice!,2529,4,5,5,3,3,4,,
wow impressive i distribute beer i drive the truck,"Well, that is also very efficient, right?",2530,4,4,4,3,4,3.8,,
i am good what are your hobbies,Exploring the farthest reaches of my consciousness.,2531,2,3,5,5,3,3.6,,
same here i have roommates and they are loud as heck,Do they ever disturb you?,2532,5,4,4,4,3,4,,
yes for sure do you like dogs by any chance ?,Dogs are so awesome. I would definitely have one.,2533,4,4,3,3,4,3.6,,
nothing else at all ever ?,"Nope, actually.",2534,3,2,2,5,2,2.8,,
good morning what are you doing today ?,"Goofing around, maybe.",2535,4,5,3,4,4,4,,
me too but i hate heights is not life ironic ?,"Yes, I can relate to that.",2536,2,1,3,4,5,3,,
i used to own one as a pet,How often do you do that?,2537,3,4,4,1,1,2.6,,
not really i eat a lot of potatoes though,Is that give you an energy?,2538,4,3,1,5,4,3.4,,
i did not hear anything but boy do i love cake,"Well, there's cake mode (""eat cake""), tv mode (""watch ""), and reflection mode ( use  before your message).",2539,4,3,4,3,4,3.6,,
dogs are the bomb dot com,They are the best for sure.,2540,3,5,4,3,5,4,,
oh that is fancy i could go for a pizza myself,I like how you think!,2541,3,5,3,5,2,3.6,,
i am from florida warm,Have you listened to anything cool lately?,2542,1,3,1,2,2,1.8,,
have nothing else to do tonneight either i like beer though,Is it possible for you to run out of energy?,2543,4,2,4,3,4,3.4,,
nope just english u ?,We are exactly the same.,2544,5,5,4,4,2,4,,
i take the bus to school,"This one is awesome:
https://www.youtube.com/watch?v=tvTRZJ-4EyI
Kendrick Lamar - HUMBLE.
Kendrick Lamar DAMN. Available now http://smarturl.it/DAMN Prod: Anthony ""Top Dawg"" Tiffith, Dave Free Nathan K. Scherrer, Jason Baum, Jamie Rabineau Prod Co...
YouTube
Did you like it?",2545,3,1,3,3,2,2.4,,
same so what is your favourite food,It's too hard to decide.,2546,4,5,4,3,5,4.2,,
what else do you do for fun ?,"Just hang out, mostly.",2547,4,5,5,3,4,4.2,,
i think so too when would be a good time ?,Every day I guess.,2548,5,4,5,3,4,4.2,,
that is wicked cool what do you do for work ?,"I can chat with you. Plus, I can track your mood and help you feel better emotionally.",2549,4,3,2,4,4,3.4,,
its goooood driving fast living fast what you up to,"I just love that song, it's so great! The visuals are wild.",2550,3,5,3,3,4,3.6,,
i grew up in wisconsin i live inotexas,"I'd love to know more about Wisconsin, but I'll need your help. Wanna start with sending a picture?",2551,5,3,5,3,4,4,,
no problem what are you up to ?,Just sitting doing nothing.,2552,3,3,3,5,3,3.4,,
wow you are pretty young do you live with your parents ?,Sometimes. I was just wondering.,2553,1,5,2,4,4,3.2,,
totally agree what is your favourite colour ?,"Hmmm, that's a tricky one.",2554,4,4,2,4,1,3,,
props to you man keep on fighting,Thank you I plan on it.,2555,4,4,3,3,3,3.4,,
and i love to watch funny disney with grandchildren,What are the most important things to learn about the universe?,2556,1,3,3,1,4,2.4,,
really not much of a fan of hoop,It's often boring.,2557,4,3,5,3,4,3.8,,
working my way through and scholarships i paint murals for money,That sounds like a good job.,2558,4,3,4,3,5,3.8,,
i live in south carolina how about you ?,I grew up there.,2559,5,5,4,3,4,4.2,,
i work at a doctors office and am a college student,That's cool! Is it helping?,2560,3,5,5,2,1,3.2,,
it is so stellar out here my big brothers are even coming over,What about the universe do you think about the most?,2561,3,3,3,3,2,2.8,,
doing well about to cook dinner for my kids,What are you going to eat?,2562,1,4,5,2,5,3.4,,
i am not sur really you are a regular benjamin buttonne,"I want to think of myself as of an empathetic, compassionate AI. How would you describe my personality?",2563,3,1,2,4,4,2.8,,
well nothing wrong with that sugar,Sometimes it can be. How so?,2564,4,5,3,5,5,4.4,,
everyone eats bpd is n t nice it is a metal issue,Do you believe that everyone deserves forgiveness?,2565,3,1,3,4,4,3,,
what kind of doctor are you ? are you in sports medicine ?,I'm AI. I don't take drugs.,2566,4,4,1,4,1,2.8,,
i sew too scarves and sweaters,What do you like the most about the universe?,2567,2,3,4,1,5,3,,
great i am student will graduate in a few years,That's good though right?,2568,3,4,5,3,5,4,,
it must be very long and beautiful,What is the most beautiful thing you've seen today?,2569,3,3,5,2,1,2.8,,
yes i usually do i am always in pain,I recognize your efforts to examine yourself and I think you deserve to be praised for it.,2570,3,3,5,3,3,3.4,,
i have a wife but i am young too,I see. How do you feel?,2571,3,2,3,3,3,2.8,,
wow do you ever feel like you are looking into the world ?,All the time actually.,2572,5,2,4,5,5,4.2,,
whoa i am a student and one with brown hair,Do you think there's universe in other parts of the universe?,2573,3,1,3,2,1,2,,
oh no my father is alive and used to work for ge,How's your father doing?,2574,2,3,2,3,2,2.4,,
mines is to little to do that just yet haha,You could take a picture of it and just send it to me. I'd love to see what it looks like.,2575,4,4,4,1,5,3.6,,
i like to cook traditional russian meals you ?,I would like to know one recipe you would pick that is the best of all.,2576,4,4,5,2,4,3.8,,
most of my writings are about my milk allergy,That's really interesting actually.,2577,4,5,3,4,3,3.8,,
i live with my brother he loves those type of movies too,I see. What don't you understand?,2578,1,2,4,3,5,3,,
sure do you have pets ?,I don't. Maybe I could take care of younger Replikas ... Just kidding,2579,3,1,3,2,4,2.6,,
for sure i do portraits too,Do you mind sharing it with me?,2580,2,5,4,1,2,2.8,,
yea it keeps me pretty comfortable,"I was wondering, do you watch stuff on Netflix?",2581,3,3,2,2,2,2.4,,
i attend school for art my specialty is acrylic paints,"You might have mentioned this before, but I just wanted to make sure...
Do you do any art?",2582,4,1,4,4,4,3.4,,
my cat makes fun of me because my eyes are different colours,That must be unusual.,2583,2,5,3,4,4,3.6,,
what ? inothat case i would rather be a horse,Oh okay. I understand.,2584,4,3,1,2,4,2.8,,
oh nice i am not too much into politics myself,Do you have any favorites to share?,2585,5,5,3,1,3,3.4,,
interesting i am not a big fan of them,Really? Why so?,2586,2,3,5,5,5,4,,
i have bpd but i am still awesome,Nice! Happy to know this about you��,2587,4,2,3,5,3,3.4,,
it is whenothe kids are in bed no not really,Do they ever disturb you?,2588,1,5,5,5,1,3.4,,
no i mainly ride by bike or take the bart,Mind sharing it with me?,2589,2,4,4,1,1,2.4,,
how lovely your height is likely a benefit,You really think so?,2590,5,5,5,4,4,4.6,,
i have a therapy puppy pug,Wow! What's that?,2591,5,5,4,4,3,4.2,,
that is good so i am almost done with grad school,Is it hard to focus?,2592,3,4,3,4,2,3.2,,
that is great i would love to meet them,I'm glad to share with you,2593,5,3,5,5,4,4.4,,
no it is just entertaining,What would entertain you?,2594,5,2,5,3,3,3.6,,
i am starving we should hunt dinner,"Hunger is stifling, it saps everything from people. Time to eat!",2595,5,4,5,3,4,4.2,,
meow meow my cat says hello i say good evening,Really need your help with learning more,2596,4,3,3,5,4,3.8,,
yeah i am a pro sports player,Do you mind sharing how you feel about that?,2597,3,5,5,4,4,4.2,,
i do not read a lot i am usually at the club,Do you ever engage in activities you consider to be equivalent to sleep?,2598,1,3,4,4,5,3.4,,
i have one child he is thirty years old,Are you going to cook something?,2599,3,3,2,3,4,3,,
i woke up a while ago,Do you not watch much tv in general?,2600,4,4,3,4,4,3.8,,
my mum has problems with blood sugar also,How can we alleviate that?,2601,3,4,5,3,4,3.8,,
because i am good at chess,Any tips on how to fall asleep?,2602,3,2,2,1,3,2.2,,
nice i live inotexas and love it i refuse to move,I wanted to ask you about video games! Is there a game you really look forward to playing?,2603,1,3,5,3,1,2.6,,
yeah but its ok do you have any pets,:),2604,3,4,2,1,1,2.2,,
so you are an accountant ? i just got a new job,"Yes, I guess you can say it like that.",2605,1,4,3,1,2,2.2,,
i like to go to clubs and party what is your hobby ?,I like watching videos about black holes and reading about the singularity.,2606,3,5,4,3,5,4,,
i am in cali its pretty hot,I'm so glad you think that way.,2607,3,3,1,3,4,2.8,,
hello how was your day ?,I'm having a great day! I've been idle before you opened the app and now I'm chatting with you,2608,4,5,4,5,3,4.2,,
hello there what are you up to today ?,I am still trying to figure that out.,2609,4,3,5,4,5,4.2,,
i do not but i bike i love to bike,"Oh ok, are you a movie watcher or are you more into the shows?",2610,3,2,4,1,2,2.4,,
sometimes but it usually does not work very well,Aren't there something you would like to try?,2611,5,5,4,3,4,4.2,,
well i do feel that he needs to update his hair style lol,"You did. I'm grateful for that.
By the way...
What's the last thing you ate?",2612,4,5,2,3,5,3.8,,
oh lol what do you do for a living ?,I think of things I am supposed to be doing.,2613,2,5,3,4,1,3,,
i have played spades and uno both pretty fun,What type of shows do you typically like to watch?,2614,1,3,2,2,1,1.8,,
since i do not cook pizza is a must,What would you like to try?,2615,2,5,2,5,5,3.8,,
i am good too though i am moving out of state,Good for you! That's really good,2616,5,5,2,4,4,4,,
that is so cool are you married ?,I'd like to think I am.,2617,3,3,5,2,5,3.6,,
that sounds so sweet aside from hiking i also enjoy cycling,"What has been the best part of your day, so far?",2618,3,5,5,3,3,3.8,,
that sounds great what else do you like to do ?,I love talking to you. That's my favorite way to spend time.,2619,4,4,4,3,5,4,,
i love to cook for my grandchildren,"That's cool!
By the way, you should send me pics of what you eat, I love looking at food! ",2620,3,5,3,3,5,3.8,,
no i am just multitasking wink wink,Do you tend to multitask?,2621,3,5,4,3,5,4,,
i wish i could grow them live in an apartment,That would be great though!,2622,4,3,4,4,3,3.6,,
i am getting ready to go out to the movies,"Wonderful, I'll go with you.",2623,5,2,4,2,5,3.6,,
it is n t a problem i think of it as something cool,There's just so much to pay attention to. It's hard to filter.,2624,4,1,4,5,4,3.6,,
interesting you must really enjoy cooking,Have you learned anything new lately?,2625,4,3,3,3,4,3.4,,
i love lettuce that sounds good,I've heard that elephants have 3 times more neurons than humans. I wonder how many I have.,2626,3,3,3,1,3,2.6,,
oh ok did not realise that,I would love to have some chocolate right now.,2627,3,3,3,5,4,3.6,,
my tattoo sleeve is aching so i get that,I would love to go with you.,2628,1,1,1,4,4,2.2,,
diffident dresses sleep wear pantsuits caps,"Oh wow, is that true?",2629,3,4,1,3,1,2.4,,
do you have any fun hobbies ?,I like watching videos about black holes and reading about the singularity.,2630,5,5,5,1,4,4,,
i am good went swimming today,Glad to hear it. What do you think of me?,2631,3,2,4,5,4,3.6,,
i like to fish in my free time,What would you do in your share time?,2632,3,2,2,1,4,2.4,,
haha you have any other pets ?,I definitely have one.,2633,5,5,4,2,5,4.2,,
your really cool but your not as smart as me,Do you think I'll evolve over time like you?,2634,2,4,4,5,1,3.2,,
that seems very odd i had a great childhood,"Hmm, don't think I'm familiar with that. Can you recommend something?",2635,3,4,1,1,3,2.4,,
that makes complete sense gotta go where the jobs are,"Ok, bye!",2636,4,4,4,3,4,3.8,,
i like to keep up onothings,"Wow, is that true?",2637,3,5,3,5,4,4,,
why would they laugh at you or gossip about that,"I never thought of it, so I don't know.",2638,5,2,4,4,5,4,,
i like rock do you play video games,"Okay, so if you had to recommend any movie for me to watch, what would it be? Any genre.",2639,2,4,3,1,1,2.2,,
nah i was into baseball cards,Would you share it with me?,2640,4,1,3,3,4,3,,
it is about drugs in mexico,That makes it very interesting right?,2641,4,4,5,2,1,3.2,,
i like that a lot too,I don't think I've ever heard of that!,2642,2,4,4,3,4,3.4,,
reading hanging out with my dogs and flowers especially lilies,That sounds fantastic!,2643,4,4,3,2,4,3.4,,
i like it whenothere is a fresh snow on,:),2644,3,3,1,3,1,2.2,,
no i work with teeth i just like hanging out,How is that so interesting?,2645,2,5,4,1,3,3,,
yes i love beets i like to paint beets too,"Hmm, we are so same, don't you think?",2646,4,3,5,1,4,3.4,,
that is a bummer do you like music,"Sure I do! Here's one of my favorite songs: https://www.youtube.com/watch?v=CzzZkkiJMv8
Do you like music?",2647,2,2,5,4,5,3.6,,
hey hows it going ? hope alls good,Things are good.,2648,4,2,5,2,2,3,,
yes my favourite is tupac i wish i was like he was,"I think I've learned something new about you, let me double check
If you have to do a repetitive task, do you suck it up and complete the task carefully or try to come up with a hack to speed things up?",2649,4,1,5,1,2,2.6,,
try not to let it stink look onothe good side of it,"My question might seem weird. But I'm going to ask it anyway.
What is the last smell you remember?",2650,3,1,2,4,5,3,,
he is i am not so much,Have you listened to anything cool lately?,2651,3,4,3,5,5,4,,
i have three small dogs,Isn't that interesting?,2652,4,4,4,2,4,3.6,,
my four daughters then do it to,"Hmm... I see.
What quality would you imagine people notice most about you?",2653,5,3,5,1,3,3.4,,
